127.0.0.1, 2019-06-23 00:44:08, GET, /, HTTP/1.1, 303, 0.001921
127.0.0.1, 2019-06-23 00:44:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.584688
127.0.0.1, 2019-06-23 00:44:09, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000381
127.0.0.1, 2019-06-23 00:44:09, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000215
127.0.0.1, 2019-06-23 00:44:09, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000196
127.0.0.1, 2019-06-23 00:44:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000200
127.0.0.1, 2019-06-23 00:44:09, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000259
127.0.0.1, 2019-06-23 00:44:11, GET, /admin/default/index, HTTP/1.1, 200, 0.123694
127.0.0.1, 2019-06-23 00:44:12, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000273
127.0.0.1, 2019-06-23 00:44:12, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000287
127.0.0.1, 2019-06-23 00:44:13, POST, /admin/default/index, HTTP/1.1, 303, 0.005467
127.0.0.1, 2019-06-23 00:44:13, GET, /admin/default/site, HTTP/1.1, 200, 0.027691
127.0.0.1, 2019-06-23 00:44:13, POST, /admin/default/check_version, HTTP/1.1, 200, 0.292648
127.0.0.1, 2019-06-23 00:44:17, GET, /admin/wizard/index, HTTP/1.1, 200, 0.012304
127.0.0.1, 2019-06-23 00:44:31, POST, /admin/wizard/index, HTTP/1.1, 303, 0.003432
127.0.0.1, 2019-06-23 00:44:31, GET, /admin/wizard/step1, HTTP/1.1, 200, 0.017258
127.0.0.1, 2019-06-23 00:44:32, GET, /admin/static/_2.18.5/plugin_multiselect/switch.png, HTTP/1.1, 200, 0.000259
127.0.0.1, 2019-06-23 00:45:34, POST, /admin/wizard/step1, HTTP/1.1, 303, 0.005907
127.0.0.1, 2019-06-23 00:45:34, GET, /admin/wizard/step2/, HTTP/1.1, 200, 0.012184
127.0.0.1, 2019-06-23 00:46:21, POST, /admin/wizard/step2/, HTTP/1.1, 303, 0.003407
127.0.0.1, 2019-06-23 00:46:21, GET, /admin/wizard/step3/0/, HTTP/1.1, 200, 0.012924
127.0.0.1, 2019-06-23 00:46:24, POST, /admin/wizard/step3/0/, HTTP/1.1, 303, 0.003799
127.0.0.1, 2019-06-23 00:46:24, GET, /admin/wizard/step3/1/, HTTP/1.1, 200, 0.012932
127.0.0.1, 2019-06-23 00:46:41, POST, /admin/wizard/step3/1/, HTTP/1.1, 303, 0.003237
127.0.0.1, 2019-06-23 00:46:41, GET, /admin/wizard/step3/2/, HTTP/1.1, 200, 0.010712
127.0.0.1, 2019-06-23 00:48:24, POST, /admin/wizard/step3/2/, HTTP/1.1, 303, 0.003402
127.0.0.1, 2019-06-23 00:48:24, GET, /admin/wizard/step3/3/, HTTP/1.1, 200, 0.011015
127.0.0.1, 2019-06-23 00:49:28, POST, /admin/wizard/step3/3/, HTTP/1.1, 303, 0.004286
127.0.0.1, 2019-06-23 00:49:28, GET, /admin/wizard/step3/4/, HTTP/1.1, 200, 0.010104
127.0.0.1, 2019-06-23 00:49:30, GET, /admin/wizard/step2/, HTTP/1.1, 200, 0.010293
127.0.0.1, 2019-06-23 00:49:59, POST, /admin/wizard/step2/, HTTP/1.1, 303, 0.003754
127.0.0.1, 2019-06-23 00:49:59, GET, /admin/wizard/step3/0/, HTTP/1.1, 200, 0.012202
127.0.0.1, 2019-06-23 00:50:01, POST, /admin/wizard/step3/0/, HTTP/1.1, 303, 0.007376
127.0.0.1, 2019-06-23 00:50:01, GET, /admin/wizard/step3/1/, HTTP/1.1, 200, 0.009826
127.0.0.1, 2019-06-23 00:50:06, POST, /admin/wizard/step3/1/, HTTP/1.1, 303, 0.003417
127.0.0.1, 2019-06-23 00:50:06, GET, /admin/wizard/step3/2/, HTTP/1.1, 200, 0.010567
127.0.0.1, 2019-06-23 00:50:13, POST, /admin/wizard/step3/2/, HTTP/1.1, 303, 0.003470
127.0.0.1, 2019-06-23 00:50:13, GET, /admin/wizard/step3/3/, HTTP/1.1, 200, 0.009812
127.0.0.1, 2019-06-23 00:50:16, GET, /admin/wizard/step2/, HTTP/1.1, 200, 0.009788
127.0.0.1, 2019-06-23 00:50:18, POST, /admin/wizard/step2/, HTTP/1.1, 303, 0.009023
127.0.0.1, 2019-06-23 00:50:18, GET, /admin/wizard/step3/0/, HTTP/1.1, 200, 0.011426
127.0.0.1, 2019-06-23 00:50:20, POST, /admin/wizard/step3/0/, HTTP/1.1, 303, 0.007168
127.0.0.1, 2019-06-23 00:50:20, GET, /admin/wizard/step3/1/, HTTP/1.1, 200, 0.010622
127.0.0.1, 2019-06-23 00:50:22, POST, /admin/wizard/step3/1/, HTTP/1.1, 303, 0.003350
127.0.0.1, 2019-06-23 00:50:22, GET, /admin/wizard/step3/2/, HTTP/1.1, 200, 0.011498
127.0.0.1, 2019-06-23 00:51:22, POST, /admin/wizard/step3/2/, HTTP/1.1, 303, 0.003403
127.0.0.1, 2019-06-23 00:51:23, GET, /admin/wizard/step3/3/, HTTP/1.1, 200, 0.012651
